,Company Name,Industry,Symbol,Series,ISIN Code
0,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
1,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
2,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
3,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
4,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
5,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
6,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
7,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
8,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
9,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
10,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
11,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
12,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
13,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
14,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
15,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
16,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
17,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
18,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
19,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
20,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
21,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
22,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
23,Canara Bank,Financial Services,CANBK,EQ,INE476A01014
24,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
25,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
26,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
27,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
28,DLF Ltd.,Realty,DLF,EQ,INE271C01023
29,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
30,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
31,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
32,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
33,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
34,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
35,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
36,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
37,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
38,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
39,Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
40,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
41,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
42,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
43,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
44,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
45,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
46,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
47,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
48,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
49,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
50,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
51,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
52,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
53,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
54,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
55,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
56,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
