,Company Name,Industry,Symbol,Series,ISIN Code
0,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
1,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
2,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
3,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
4,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
5,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
6,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
7,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
8,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
10,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
11,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
12,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
13,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
14,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
15,Dummy - Jio Financial Services Ltd.,Financial Services,DUMMYREL,EQ,DUM002A01018
16,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
17,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
18,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
19,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
20,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
21,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
22,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
23,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
24,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
25,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
26,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
27,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
28,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
29,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
30,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
31,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
32,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
33,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
34,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
35,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016
36,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
37,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
38,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
39,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
40,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
41,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
42,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
43,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
44,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
45,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
46,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
47,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
48,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
49,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
50,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
