,Company Name,Industry,Symbol,Series,ISIN Code
0,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
1,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
2,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
3,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
4,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
5,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
6,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
7,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
8,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
9,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
10,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
11,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
12,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
13,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
14,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
15,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
16,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
17,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
18,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
19,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
20,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
21,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
22,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
23,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
24,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
25,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
26,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
27,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
28,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
29,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
30,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
31,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
32,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
33,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
34,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
35,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
36,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
37,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
38,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
39,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
40,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
41,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
42,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
43,Canara Bank,Financial Services,CANBK,EQ,INE476A01022
44,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
45,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
46,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
47,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
48,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
49,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
50,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
51,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
52,DLF Ltd.,Realty,DLF,EQ,INE271C01023
53,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
54,Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
55,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
56,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
57,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
58,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
59,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
60,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
61,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
62,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
63,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
64,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
65,GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
66,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
67,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
68,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
69,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
70,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
71,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
72,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
73,Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
74,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
75,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
76,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
77,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
78,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
79,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
80,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
81,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
82,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
83,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
84,IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
85,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
86,IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
87,ITC Hotels Ltd.,Consumer Services,ITCHOTELS,BE,INE379A01028
88,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
89,Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
90,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
91,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
92,Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014
93,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
94,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
95,Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
96,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
97,Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
98,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
99,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
100,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
101,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
102,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
103,JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
104,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
105,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
106,Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
107,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
108,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
109,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
110,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
111,L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
112,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
113,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
114,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
115,Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
116,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
117,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
118,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
